cluster,Phase,n,frac
0,G1,558,0.14722955145118732
0,G2M,1289,0.3401055408970976
0,S,1943,0.512664907651715
1,G1,445,0.13928012519561817
1,G2M,1259,0.39405320813771516
1,S,1491,0.4666666666666667
2,G1,666,0.2572421784472769
2,G2M,909,0.3511008111239861
2,S,1014,0.39165701042873696
3,G1,581,0.24422026061370325
3,G2M,785,0.32997057587221523
3,S,1013,0.42580916351408155
4,G1,98,0.056778679026651215
4,G2M,605,0.3505214368482039
4,S,1023,0.5926998841251448
5,G1,257,0.16896778435239973
5,G2M,592,0.3892176199868508
5,S,672,0.4418145956607495
6,G1,85,0.07048092868988391
6,G2M,444,0.3681592039800995
6,S,677,0.5613598673300166
7,G1,292,0.2584070796460177
7,G2M,454,0.40176991150442476
7,S,384,0.3398230088495575
8,G1,380,0.37181996086105673
8,G2M,369,0.3610567514677104
8,S,273,0.2671232876712329
9,G1,74,0.07297830374753451
9,G2M,469,0.4625246548323471
9,S,471,0.46449704142011833
10,G1,64,0.0810126582278481
10,G2M,210,0.26582278481012656
10,S,516,0.6531645569620254
11,G1,481,0.6891117478510028
11,G2M,147,0.21060171919770773
11,S,70,0.10028653295128939
12,G1,285,0.5277777777777778
12,G2M,141,0.2611111111111111
12,S,114,0.2111111111111111
13,G1,137,0.30855855855855857
13,G2M,165,0.3716216216216216
13,S,142,0.31981981981981983
14,G1,108,0.574468085106383
14,G2M,43,0.22872340425531915
14,S,37,0.19680851063829788
