p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.564961959510896,0.782,0.213,0,0,Six1
0,2.2813863100123153,0.863,0.3,0,0,Ebf1
0,2.335264132606656,0.565,0.115,0,0,Ebf2
0,1.915465803964595,0.729,0.292,0,0,Tbx1
0,1.9625265558584415,0.575,0.178,0,0,Eya1
0,2.381270144385212,0.577,0.228,0,0,Fst
0,1.4780286416595645,0.659,0.343,0,0,Ddit4
0,2.3818209853810632,0.496,0.185,0,0,Ndufa4l2
0,1.4916759108878512,0.543,0.237,0,0,Irx5
0,2.6176714140120265,0.395,0.109,0,0,Nefl
0,0.8064090890441054,0.835,0.551,0,0,Igfbp2
0,1.2919829822131716,0.663,0.382,0,0,Irx3
0,1.751252696908277,0.425,0.153,0,0,Col13a1
0,1.3614005182550437,0.673,0.403,0,0,Colec12
0,1.452061207958078,0.836,0.568,0,0,Cadm1
0,3.6233171262532875,0.304,0.05,0,0,Lhx2
0,2.0837101177670196,0.342,0.089,0,0,Sobp
0,0.9630629973608564,0.831,0.581,0,0,Car14
0,1.682015309278201,0.878,0.638,0,0,Lmo4
0,1.0337026470789574,0.853,0.626,0,0,Hmgn3
0,2.4379048875377194,0.259,0.058,0,0,Hlf
0,0.9433101180732605,0.853,0.654,0,0,Fzd2
0,1.040502699548992,0.835,0.662,0,0,Bnip3
0,1.6559668330330508,0.994,0.917,0,0,Nnat
0,0.7953941644331303,0.93,0.87,0,0,Pgk1
0,0.6739156233151962,0.984,0.966,0,0,Bnip3l
0,0.5567480149033535,0.999,0.983,0,0,Pgam1
0,0.5901613828612291,1,0.992,0,0,Pkm
9.926063195184185e-308,0.543788185987605,0.984,0.893,1.918708015629103e-303,0,H2afy2
2.7469002538401164e-304,1.9160243774614563,0.375,0.133,5.309758190672945e-300,0,Frzb
2.159559282670705e-297,1.4111301277359782,0.626,0.351,4.1744280934024724e-293,0,Dusp6
2.4564652819655536e-294,1.634193682535214,0.428,0.172,4.748347390039415e-290,0,Col23a1
4.509328170106728e-293,1.194236512105598,0.488,0.223,8.7165313528163045e-289,0,Cthrc1
2.998792650543513e-287,0.8935708644904676,0.72,0.427,5.7966661935006105e-283,0,Col26a1
