p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,3.6233171262532875,0.304,0.05,0,0,Lhx2
0,2.6176714140120265,0.395,0.109,0,0,Nefl
0,2.564961959510896,0.782,0.213,0,0,Six1
0,2.4379048875377194,0.259,0.058,0,0,Hlf
0,2.3818209853810632,0.496,0.185,0,0,Ndufa4l2
0,5.445592073299506,0.383,0.032,0,1,Cxcl13
0,4.621033438920569,0.292,0.027,0,1,Nkx6-1
0,4.003949116660669,0.26,0.021,0,1,Foxg1
0,3.4964736237908136,0.803,0.157,0,1,Osr1
0,3.3239658298171695,0.299,0.051,0,1,Fendrr
0,3.437810777285552,0.358,0.061,0,2,Mab21l2
0,2.9798750718445746,0.362,0.089,0,2,Sfrp5
2.4315473337616537e-269,2.9785197937439993,0.405,0.151,4.7001809961612765e-265,2,Alcam
1.407099232780624e-276,2.7194251946098156,0.426,0.165,2.719922816964946e-272,2,Igfbpl1
2.109294902655232e-301,2.3414995497495985,0.29,0.067,4.077267046832563e-297,2,5033428I22Rik
0,3.9963530049199476,0.41,0.051,0,3,Alx3
0,3.0804171488646803,0.325,0.075,0,3,Hoxc4
0,3.0261674814233435,0.385,0.058,0,3,Epha3
2.1720643835601587e-202,3.000071248263324,0.46,0.229,4.1986004534217865e-198,3,Mlf1
0,2.9803359880313773,0.27,0.045,0,3,Ppp2r2b
0,5.171540126421915,0.278,0.016,0,4,Wfdc21
0,4.66214656416458,0.948,0.193,0,4,Meox1
0,4.661733516806233,0.941,0.171,0,4,Tcf15
0,4.522079291015512,0.503,0.024,0,4,Halr1
0,4.21460391783828,0.375,0.039,0,4,Nkx3-1
0,7.266498854210396,0.501,0.004,0,5,Hoxc10
0,7.021297609990623,0.517,0.005,0,5,Hoxa11
0,6.916514313973835,0.297,0.002,0,5,Hoxd10
0,6.91223221332457,0.816,0.012,0,5,Hoxa10
0,5.894961536258531,0.838,0.02,0,5,Hoxa9
0,5.177486311466614,0.753,0.057,0,6,Cdx1
0,4.4320578898890615,0.486,0.033,0,6,Hoxb5os
0,4.42795622082081,0.485,0.049,0,6,Cdx4
0,4.334447131231966,0.261,0.016,0,6,Gfra3
0,4.145129598327942,0.54,0.046,0,6,Lhx1
0,7.270737180288471,0.775,0.038,0,7,Cldn5
0,7.13367463001197,0.442,0.015,0,7,Kcne3
0,6.684566715527772,0.264,0.008,0,7,C1ql2
0,5.69898795338812,0.298,0.009,0,7,Mfng
0,5.552787604676226,0.792,0.047,0,7,Esam
0,5.12140822487274,0.254,0.013,0,8,Sostdc1
1.4595607524499626e-176,3.4887009048730975,0.256,0.05,2.821330934485778e-172,8,Pax9
0,3.480443369698729,0.357,0.052,0,8,Ptx3
3.423351762905972e-184,3.293542687904288,0.307,0.068,6.6173389576972435e-180,8,Ntrk2
7.39019625412237e-173,3.2734138848707115,0.315,0.076,1.428524935921854e-168,8,Mafb
0,7.038386670822057,1,0.505,0,9,Hbb-y
0,6.7944676556820065,0.891,0.018,0,9,Krt15
0,6.744375872111053,0.993,0.051,0,9,Hemgn
0,6.703103977104037,0.414,0.007,0,9,Gm2061
0,6.6498141864429305,0.772,0.017,0,9,Aqp3
0,7.159757823566484,0.314,0.01,0,10,Rac2
0,6.37109327618848,0.47,0.006,0,10,Gja6
0,6.203057279834666,0.676,0.023,0,10,Fermt3
0,6.001679204069092,0.591,0.014,0,10,F10
0,5.699344756359565,0.497,0.023,0,10,Nxpe2
0,9.495861197626194,0.279,0.008,0,11,Nppa
0,9.201477020288971,0.342,0.001,0,11,Trdn
0,8.769498514413682,0.569,0.008,0,11,Cox6a2
0,8.63573673410311,0.904,0.023,0,11,Myh6
0,8.586250265445932,0.595,0.056,0,11,Myl2
0,7.662129412538496,0.387,0.003,0,12,Bmx
0,6.645582038803701,0.563,0.009,0,12,Adgrg6
0,5.980401935898362,0.683,0.088,0,12,Pdlim3
0,5.829238516261614,0.307,0.016,0,12,Tm4sf1
0,5.326492116191326,0.53,0.072,0,12,Klf2
0,6.328354777886576,0.394,0.022,0,13,Tdo2
0,6.040964328731103,0.261,0.004,0,13,1700019B21Rik
0,5.63869247216671,0.423,0.015,0,13,Cbln1
0,5.383421753651295,0.426,0.016,0,13,Tac2
0,5.1657768172574485,0.354,0.011,0,13,Lims2
0,8.483622102124777,0.872,0.011,0,14,Upk1b
0,8.26151387374036,0.718,0.005,0,14,Aldh1a1
0,7.625044920963141,0.75,0.01,0,14,Krt7
0,7.510639303014886,0.42,0.003,0,14,Sowahd
0,7.071286948609784,0.314,0.003,0,14,6030498E09Rik
